Station;year;month;day;601;pc
3427050;2014;1;1;0;24
3427050;2014;1;2;0;24
3427050;2014;1;3;0;24
3427050;2014;1;4;0;24
3427050;2014;1;5;0;24
3427050;2014;1;6;0;24
3427050;2014;1;7;0;24
3427050;2014;1;8;7,9;24
3427050;2014;1;9;0,2;24
3427050;2014;1;10;0;24
3427050;2014;1;11;0;24
3427050;2014;1;12;0;24
3427050;2014;1;13;0;24
3427050;2014;1;14;1,9;24
3427050;2014;1;15;7,7;24
3427050;2014;1;16;5,8;24
3427050;2014;1;17;1,9;24
3427050;2014;1;18;0;24
3427050;2014;1;19;0;24
3427050;2014;1;20;0;24
3427050;2014;1;21;3,1;24
3427050;2014;1;22;0;24
3427050;2014;1;23;0;24
3427050;2014;1;24;0,1;24
3427050;2014;1;25;0,2;24
3427050;2014;1;26;0;24
3427050;2014;1;27;0,8;24
3427050;2014;1;28;2,7;24
3427050;2014;1;29;0;24
3427050;2014;1;30;0;24
3427050;2014;1;31;0;24
3427050;2014;2;1;0,9;24
3427050;2014;2;2;0,2;24
3427050;2014;2;3;0;24
3427050;2014;2;4;0;24
3427050;2014;2;5;6,9;24
3427050;2014;2;6;3,9;24
3427050;2014;2;7;7,2;24
3427050;2014;2;8;4,9;24
3427050;2014;2;9;4;24
3427050;2014;2;10;0;24
3427050;2014;2;11;0;24
3427050;2014;2;12;0;24
3427050;2014;2;13;0,4;24
3427050;2014;2;14;5,3;24
3427050;2014;2;15;0,6;24
3427050;2014;2;16;0;24
3427050;2014;2;17;0;24
3427050;2014;2;18;0,3;24
3427050;2014;2;19;0;24
3427050;2014;2;20;0;24
3427050;2014;2;21;0;24
3427050;2014;2;22;1,7;24
3427050;2014;2;23;0;24
3427050;2014;2;24;0;24
3427050;2014;2;25;0;24
3427050;2014;2;26;0;24
3427050;2014;2;27;0;24
3427050;2014;2;28;0;24
3427050;2014;3;1;0;24
3427050;2014;3;2;0,2;24
3427050;2014;3;3;13,2;24
3427050;2014;3;4;0,7;24
3427050;2014;3;5;0;24
3427050;2014;3;6;0,4;24
3427050;2014;3;7;0;24
3427050;2014;3;8;0;24
3427050;2014;3;9;0;24
3427050;2014;3;10;0;24
3427050;2014;3;11;1,7;24
3427050;2014;3;12;0,5;24
3427050;2014;3;13;2,5;24
3427050;2014;3;14;10,1;24
3427050;2014;3;15;0,2;24
3427050;2014;3;16;0;24
3427050;2014;3;17;0;24
3427050;2014;3;18;0;24
3427050;2014;3;19;0;24
3427050;2014;3;20;0;24
3427050;2014;3;21;0;24
3427050;2014;3;22;0,4;24
3427050;2014;3;23;7;24
3427050;2014;3;24;0;24
3427050;2014;3;25;0,7;24
3427050;2014;3;26;0;24
3427050;2014;3;27;0;24
3427050;2014;3;28;0;24
3427050;2014;3;29;0;24
3427050;2014;3;30;0;24
3427050;2014;3;31;0;24
3427050;2014;4;1;2,4;24
3427050;2014;4;2;0;24
3427050;2014;4;3;0;24
3427050;2014;4;4;0,4;24
3427050;2014;4;5;0,4;24
3427050;2014;4;6;0;24
3427050;2014;4;7;0;24
3427050;2014;4;8;0;24
3427050;2014;4;9;3,8;24
3427050;2014;4;10;2,2;24
3427050;2014;4;11;5,1;24
3427050;2014;4;12;0;24
3427050;2014;4;13;0;24
3427050;2014;4;14;0,6;24
3427050;2014;4;15;0;24
3427050;2014;4;16;46,2;24
3427050;2014;4;17;0,5;24
3427050;2014;4;18;0,6;24
3427050;2014;4;19;0;24
3427050;2014;4;20;0;24
3427050;2014;4;21;0;24
3427050;2014;4;22;1,2;24
3427050;2014;4;23;0;24
3427050;2014;4;24;0;24
3427050;2014;4;25;0;24
3427050;2014;4;26;0;24
3427050;2014;4;27;0;24
3427050;2014;4;28;0,3;24
3427050;2014;4;29;1;24
3427050;2014;4;30;0;24
3427050;2014;5;1;0;24
3427050;2014;5;2;0;24
3427050;2014;5;3;0;24
3427050;2014;5;4;0;24
3427050;2014;5;5;0,6;24
3427050;2014;5;6;0;24
3427050;2014;5;7;0;24
3427050;2014;5;8;1,6;24
3427050;2014;5;9;0,3;24
3427050;2014;5;10;0;24
3427050;2014;5;11;0;24
3427050;2014;5;12;0;24
3427050;2014;5;13;0;24
3427050;2014;5;14;0;24
3427050;2014;5;15;2;24
3427050;2014;5;16;0;24
3427050;2014;5;17;0;24
3427050;2014;5;18;0;24
3427050;2014;5;19;0;24
3427050;2014;5;20;0;24
3427050;2014;5;21;7,5;24
3427050;2014;5;22;7,2;24
3427050;2014;5;23;0;24
3427050;2014;5;24;0;24
3427050;2014;5;25;0;24
3427050;2014;5;26;0;24
3427050;2014;5;27;0;24
3427050;2014;5;28;0;24
3427050;2014;5;29;0;24
3427050;2014;5;30;3;24
