stat_no	year	month	day	hour	dd	ff	n	pppp	ttt	txtxtx	tntntn	rh	rrr6	sss
4282	2006	8	7	12	210	41		10056	50			100		
4282	2006	8	7	13	210	26		10056	60			100		
4282	2006	8	7	14	200	31		10066	60			100		
4282	2006	8	7	15	190	26		10066	60			100		
4282	2006	8	7	16	200	31		10076	60			100		
4282	2006	8	7	17	210	26		10076	60			100		
4282	2006	8	7	18	260	10		10086	60	60	40	100		
4282	2006	8	7	19	240	5		10086	60			100		
4282	2006	8	7	20	240	15		10096	50			100		
4282	2006	8	7	21	200	21		10096	50			100		
4282	2006	8	7	22	0	0		10106	50			100		
4282	2006	8	7	23	110	10		10106	50			100		
4282	2006	8	8	0	0	0		10116	50			100		
4282	2006	8	8	1	0	0		10116	50			100		
4282	2006	8	8	2	110	10		10106	50			100		
4282	2006	8	8	3	100	10		10106	50			100		
4282	2006	8	8	4	100	15		10096	60			100		
4282	2006	8	8	5	110	21		10096	60			100		
4282	2006	8	8	6	210	10		10096	50	70	50	100		
4282	2006	8	8	7	70	5		10086	60			100		
4282	2006	8	8	8	60	31		10076	60			100		
4282	2006	8	8	9	80	46		10066	70			90		
4282	2006	8	8	10	80	36		10056	70			94		
4282	2006	8	8	11	50	41		10056	80			90		
4282	2006	8	8	12	60	26		10056	90			81		
4282	2006	8	8	13	100	31		10046	90			84		
4282	2006	8	8	14	140	41		10046	90			87		
4282	2006	8	8	15	120	10		10046	100			90		
4282	2006	8	8	16	120	41		10046	90			95		
4282	2006	8	8	17	120	77		10046	100			93		
4282	2006	8	8	18	140	62		10036	100	100	50	94		
4282	2006	8	8	19	130	57		10046	100			93		
4282	2006	8	8	20	140	67		10036	100			90		
4282	2006	8	8	21	150	62		10036	100			89		
4282	2006	8	8	22	150	62		10036	110			84		
4282	2006	8	8	23	170	31		10036	100			83		
4282	2006	8	9	0	170	21		10036	100			82		
4282	2006	8	9	1	180	10		10046	110			78		
4282	2006	8	9	2	190	57		10046	90			81		
4282	2006	8	9	3	200	67		10056	90			80		
4282	2006	8	9	4	190	5		10066	80			87		
4282	2006	8	9	5	220	62		10086	70			91		
4282	2006	8	9	6	170	21		10096	50	110	50	97		
4282	2006	8	9	7	170	5		10106	60			93		
4282	2006	8	9	8	230	57		10116	50			97		
4282	2006	8	9	9	340	21		10126	30			100		
4282	2006	8	9	10	280	15		10136	20			100		
4282	2006	8	9	11	160	10		10136	30			99		
4282	2006	8	9	12	0	0		10136	40			94		
4282	2006	8	9	13	200	10		10156	40			91		
4282	2006	8	9	14	180	10		10156	30			94		
4282	2006	8	9	15	180	10		10156	50			91		
4282	2006	8	9	16	170	15		10156	30			94		
4282	2006	8	9	17	230	10		10156	40			87		
4282	2006	8	9	18	0	0		10156	60	70	20	87		
4282	2006	8	9	19	0	0		10156	60			87		
4282	2006	8	9	20	100	5		10156	70			82		
4282	2006	8	9	21	270	10		10156	60			87		
4282	2006	8	9	22	290	26		10156	40			99		
4282	2006	8	9	23	0	0		10156	40			100		
4282	2006	8	10	0	300	10		10156	40			99		
4282	2006	8	10	1	260	82		10156	50			99		
4282	2006	8	10	2	0	0		10156	40			99		
4282	2006	8	10	3	250	10		10156	30			100		
4282	2006	8	10	4	270	5		10156	30			100		
4282	2006	8	10	5	260	10		10156	30			100		
4282	2006	8	10	6	310	5		10156	40	90	30	100		
4282	2006	8	10	7	0	0		10156	30			100		
4282	2006	8	10	8	270	5		10156	40			100		
4282	2006	8	10	9	10	5		10156	40			100		
4282	2006	8	10	10	0	0		10156	50			100		
4282	2006	8	10	11	10	15		10146	70			94		
4282	2006	8	10	12	60	31		10146	90			90		
4282	2006	8	10	13	60	36		10146	100			83		
4282	2006	8	10	14	120	10		10136	110			77		
4282	2006	8	10	15	250	5		10136	100			78		
4282	2006	8	10	16	230	5		10136	100			77		
4282	2006	8	10	17	280	10		10136	70			94		
4282	2006	8	10	18	260	15		10136	80	120	30	93		
4282	2006	8	10	19	0	0		10126	90			90		
4282	2006	8	10	20	210	10		10136	80			90		
4282	2006	8	10	21	270	5		10136	80			91		
4282	2006	8	10	22	0	0		10136	80			91		
4282	2006	8	10	23	250	5		10136	80			91		
4282	2006	8	11	0	0	0		10136	60			97		
4282	2006	8	11	1	340	10		10136	50			97		
4282	2006	8	11	2	0	0		10136	70			95		
4282	2006	8	11	3	50	21		10136	70			97		
4282	2006	8	11	4	60	41		10136	80			97		
4282	2006	8	11	5	60	46		10126	90			95		
4282	2006	8	11	6	330	21		10136	90	100	50	90		
4282	2006	8	11	7	30	15		10126	100			90		
4282	2006	8	11	8	90	15		10126	90			95		
4282	2006	8	11	9	70	15		10116	100			94		
4282	2006	8	11	10	60	10		10106	120			80		
4282	2006	8	11	11	280	21		10106	70			97		
4282	2006	8	11	12	320	36		10096	70			99		
4282	2006	8	11	13	320	31		10096	70			100		
4282	2006	8	11	14	340	21		10096	80			99		
4282	2006	8	11	15	340	5		10076	100			95		
4282	2006	8	11	16	340	10		10076	100			95		
4282	2006	8	11	17	0	0		10076	100			95		
4282	2006	8	11	18	90	5		10076	100	120	60	97		
4282	2006	8	11	19	0	0		10076	100			97		
4282	2006	8	11	20	10	10		10076	110			97		
4282	2006	8	11	21	0	0		10076	100			95		
4282	2006	8	11	22	290	15		10086	90			97		
4282	2006	8	11	23	310	15		10096	90			99		
4282	2006	8	12	0	0	0		10116	90			99		
4282	2006	8	12	1	0	0		10126	80			99		
4282	2006	8	12	2	0	0		10136	80			99		
4282	2006	8	12	3	190	10		10156	80			99		
4282	2006	8	12	4	240	10		10166	70			100		
4282	2006	8	12	5	0	0		10176	60			100		
4282	2006	8	12	6	240	15		10186	70	110	60	100		
4282	2006	8	12	7	310	31		10196	70			100		
4282	2006	8	12	8	310	36		10206	70			100		
4282	2006	8	12	9	310	36		10226	70			100		
4282	2006	8	12	10	290	31		10226	60			100		
4282	2006	8	12	11	280	31		10246	60			100		
4282	2006	8	12	12	230	15		10246	60			100		
4282	2006	8	12	13	270	5		10246	80			99		
4282	2006	8	12	14	310	21		10256	80			99		
4282	2006	8	12	15	310	15		10256	80			99		
4282	2006	8	12	16	340	5		10256	120			91		
4282	2006	8	12	17	320	5		10266	130			84		
4282	2006	8	12	18	260	21		10266	110	130	60	86		
4282	2006	8	12	19	260	5		10266	130			75		
4282	2006	8	12	20	270	10		10266	120			71		
4282	2006	8	12	21	300	15		10266	120			73		
4282	2006	8	12	22	330	5		10266	100			80		
4282	2006	8	12	23	0	0		10266	90			88		
4282	2006	8	13	0	340	5		10266	80			91		
4282	2006	8	13	1	260	15		10266	70			93		
4282	2006	8	13	2	260	15		10266	60			97		
4282	2006	8	13	3	300	10		10266	60			97		
4282	2006	8	13	4	350	21		10256	60			97		
4282	2006	8	13	5	0	0		10256	70			95		
4282	2006	8	13	6	70	41		10246	80	140	60	99		
4282	2006	8	13	7	60	36		10246	110			89		
4282	2006	8	13	8	70	41		10246	100			94		
