stat_no	year	month	day	hour	precip	periode
34320	2009	1	1	12	0	24
34320	2009	1	2	12	0	24
34320	2009	1	3	12	0	24
34320	2009	1	4	12	0	24
34320	2009	1	5	12	0	24
34320	2009	1	6	12	0	24
34320	2009	1	7	12	0	24
34320	2009	1	8	12	0	24
34320	2009	1	9	12	0	24
34320	2009	1	10	12	0	24
34320	2009	1	11	12	0	24
34320	2009	1	12	12	0	24
34320	2009	1	13	12	0	24
34320	2009	1	14	12	0	24
34320	2009	1	15	12	0	24
34320	2009	1	16	12	0	24
34320	2009	1	17	12	0	24
34320	2009	1	18	12	58	24
34320	2009	1	19	12	12	24
34320	2009	1	20	12	48	24
34320	2009	1	21	12	21	24
34320	2009	1	22	12	42	24
34320	2009	1	23	12	7	24
34320	2009	1	24	12	0	24
34320	2009	1	25	12	8	24
34320	2009	1	26	12	0	24
34320	2009	1	27	12	5	24
34320	2009	1	28	12	0	24
34320	2009	1	29	12	69	24
34320	2009	1	30	12	0	24
34320	2009	1	31	12	0	24
34320	2009	2	1	12	13	24
34320	2009	2	2	12	0	24
34320	2009	2	3	12	0	24
34320	2009	2	4	12	8	24
34320	2009	2	5	12	0	24
34320	2009	2	6	12	0	24
34320	2009	2	7	12	0	24
34320	2009	2	8	12	0	24
34320	2009	2	9	12	0	24
34320	2009	2	10	12	-1	24
34320	2009	2	11	12	-1	24
34320	2009	2	12	12	-1	24
34320	2009	2	13	12	0	24
34320	2009	2	14	12	0	24
34320	2009	2	15	12	0	24
34320	2009	2	16	12	0	24
34320	2009	2	17	12	30	24
34320	2009	2	18	12	0	24
34320	2009	2	19	12	0	24
34320	2009	2	20	12	42	24
34320	2009	2	21	12	0	24
34320	2009	2	22	12	0	24
34320	2009	2	23	12	4	24
34320	2009	2	24	12	0	24
34320	2009	2	25	12	0	24
34320	2009	2	26	12	0	24
34320	2009	2	27	12	0	24
34320	2009	2	28	12	0	24
34320	2009	3	1	12	0	24
34320	2009	3	2	12	0	24
34320	2009	3	3	12	0	24
34320	2009	3	4	12	38	24
34320	2009	3	5	12	0	24
34320	2009	3	6	12	0	24
34320	2009	3	7	12	0	24
34320	2009	3	8	12	0	24
34320	2009	3	9	12	0	24
34320	2009	3	10	12	0	24
34320	2009	3	11	12	0	24
34320	2009	3	12	12	2	24
34320	2009	3	13	12	0	24
34320	2009	3	14	12	0	24
34320	2009	3	15	12	0	24
34320	2009	3	16	12	0	24
34320	2009	3	17	12	0	24
34320	2009	3	18	12	0	24
34320	2009	3	19	12	2	24
34320	2009	3	20	12	0	24
34320	2009	3	21	12	0	24
34320	2009	3	22	12	0	24
34320	2009	3	23	12	4	24
34320	2009	3	24	12	10	24
34320	2009	3	25	12	0	24
34320	2009	3	26	12	0	24
34320	2009	3	27	12	0	24
34320	2009	3	28	12	0	24
34320	2009	3	29	12	0	24
34320	2009	3	30	12	0	24
34320	2009	3	31	12	0	24
34320	2009	4	1	12	0	24
34320	2009	4	2	12	0	24
34320	2009	4	3	12	0	24
34320	2009	4	4	12	0	24
34320	2009	4	5	12	-1	24
34320	2009	4	6	12	0	24
34320	2009	4	7	12	0	24
34320	2009	4	8	12	0	24
34320	2009	4	9	12	0	24
34320	2009	4	10	12	25	24
34320	2009	4	11	12	0	24
34320	2009	4	12	12	0	24
34320	2009	4	13	12	0	24
34320	2009	4	14	12	0	24
34320	2009	4	15	12	0	24
34320	2009	4	16	12	0	24
34320	2009	4	17	12	0	24
34320	2009	4	18	12	0	24
34320	2009	4	19	12	0	24
34320	2009	4	20	12	0	24
34320	2009	4	21	12	0	24
34320	2009	4	22	12	0	24
34320	2009	4	23	12	0	24
34320	2009	4	24	12	0	24
34320	2009	4	25	12	0	24
34320	2009	4	26	12	0	24
34320	2009	4	27	12	0	24
34320	2009	4	28	12	0	24
34320	2009	4	29	12	0	24
34320	2009	4	30	12	0	24
34320	2009	5	1	12	4	24
34320	2009	5	2	12	12	24
34320	2009	5	3	12	2	24
34320	2009	5	4	12	96	24
34320	2009	5	5	12	25	24
34320	2009	5	6	12	0	24
34320	2009	5	7	12	1	24
34320	2009	5	8	12	11	24
34320	2009	5	9	12	0	24
34320	2009	5	10	12	0	24
34320	2009	5	11	12	0	24
34320	2009	5	12	12	51	24
34320	2009	5	13	12	0	24
34320	2009	5	14	12	0	24
34320	2009	5	15	12	0	24
34320	2009	5	16	12	0	24
34320	2009	5	17	12	0	24
34320	2009	5	18	12	0	24
34320	2009	5	19	12	0	24
34320	2009	5	20	12	0	24
34320	2009	5	21	12	0	24
34320	2009	5	22	12	0	24
34320	2009	5	23	12	0	24
34320	2009	5	24	12	-1	24
34320	2009	5	25	12	0	24
34320	2009	5	26	12	0	24
34320	2009	5	27	12	0	24
34320	2009	5	28	12	-1	24
34320	2009	5	29	12	0	24
34320	2009	5	30	12	0	24
34320	2009	5	31	12	0	24
34320	2009	6	1	12	0	24
34320	2009	6	2	12	0	24
34320	2009	6	3	12	-1	24
34320	2009	6	4	12	-1	24
34320	2009	6	5	12	-1	24
34320	2009	6	6	12	0	24
34320	2009	6	7	12	-1	24
34320	2009	6	8	12	0	24
34320	2009	6	9	12	0	24
34320	2009	6	10	12	-1	24
34320	2009	6	11	12	-1	24
34320	2009	6	12	12	0	24
34320	2009	6	13	12	0	24
34320	2009	6	14	12	0	24
34320	2009	6	15	12	0	24
34320	2009	6	16	12	-1	24
34320	2009	6	17	12	2	24
34320	2009	6	18	12	-1	24
34320	2009	6	19	12	-1	24
34320	2009	6	20	12	0	24
34320	2009	6	21	12	0	24
34320	2009	6	22	12	1	24
34320	2009	6	23	12	3	24
34320	2009	6	24	12	50	24
34320	2009	6	25	12	30	24
34320	2009	6	26	12	0	24
34320	2009	6	27	12	0	24
34320	2009	6	28	12	0	24
34320	2009	6	29	12	0	24
34320	2009	6	30	12	0	24
34320	2009	7	1	12	-1	24
34320	2009	7	2	12	10	24
34320	2009	7	3	12	-1	24
34320	2009	7	4	12	0	24
34320	2009	7	5	12	0	24
34320	2009	7	6	12	0	24
34320	2009	7	7	12	0	24
34320	2009	7	8	12	0	24
34320	2009	7	9	12	0	24
34320	2009	7	10	12	0	24
34320	2009	7	11	12	0	24
34320	2009	7	12	12	0	24
34320	2009	7	13	12	0	24
34320	2009	7	14	12	0	24
34320	2009	7	15	12	0	24
34320	2009	7	16	12	0	24
34320	2009	7	17	12	0	24
34320	2009	7	18	12	0	24
34320	2009	7	19	12	0	24
34320	2009	7	20	12	0	24
34320	2009	7	21	12	0	24
34320	2009	7	22	12	19	24
34320	2009	7	23	12	10	24
34320	2009	7	24	12	4	24
34320	2009	7	25	12	111	24
34320	2009	7	26	12	13	24
34320	2009	7	27	12	1	24
34320	2009	7	28	12	-1	24
34320	2009	7	29	12	3	24
34320	2009	7	30	12	248	24
34320	2009	7	31	12	3	24
34320	2009	8	1	12	3	24
34320	2009	8	2	12	0	24
34320	2009	8	3	12	0	24
34320	2009	8	4	12	0	24
34320	2009	8	5	12	0	24
34320	2009	8	6	12	0	24
34320	2009	8	7	12	0	24
34320	2009	8	8	12	0	24
34320	2009	8	9	12	0	24
34320	2009	8	10	12	0	24
34320	2009	8	11	12	0	24
34320	2009	8	12	12	0	24
34320	2009	8	13	12	0	24
34320	2009	8	14	12	0	24
34320	2009	8	15	12	0	24
34320	2009	8	16	12	0	24
34320	2009	8	17	12	16	24
34320	2009	8	18	12	-1	24
34320	2009	8	19	12	0	24
34320	2009	8	20	12	0	24
34320	2009	8	21	12	27	24
34320	2009	8	22	12	3	24
34320	2009	8	23	12	0	24
34320	2009	8	24	12	0	24
34320	2009	8	25	12	0	24
34320	2009	8	26	12	0	24
34320	2009	8	27	12	0	24
34320	2009	8	28	12	0	24
34320	2009	8	29	12	2	24
34320	2009	8	30	12	0	24
34320	2009	8	31	12	0	24
34320	2009	9	1	12	0	24
34320	2009	9	2	12	0	24
34320	2009	9	3	12	-1	24
34320	2009	9	4	12	0	24
34320	2009	9	5	12	0	24
34320	2009	9	6	12	0	24
34320	2009	9	7	12	0	24
34320	2009	9	8	12	-1	24
34320	2009	9	9	12	0	24
34320	2009	9	10	12	0	24
34320	2009	9	11	12	0	24
34320	2009	9	12	12	0	24
34320	2009	9	13	12	0	24
34320	2009	9	14	12	0	24
34320	2009	9	15	12	0	24
34320	2009	9	16	12	0	24
34320	2009	9	17	12	0	24
34320	2009	9	18	12	7	24
34320	2009	9	19	12	68	24
34320	2009	9	20	12	28	24
34320	2009	9	21	12	37	24
34320	2009	9	22	12	30	24
34320	2009	9	23	12	17	24
34320	2009	9	25	12	5	48
34320	2009	9	27	12	30	48
34320	2009	9	28	12	5	24
34320	2009	9	29	12	0	24
34320	2009	9	30	12	-1	24
34320	2009	10	1	12	0	24
34320	2009	10	2	12	0	24
34320	2009	10	3	12	-1	24
34320	2009	10	4	12	0	24
34320	2009	10	5	12	0	24
34320	2009	10	6	12	-1	24
34320	2009	10	7	12	-1	24
34320	2009	10	8	12	0	24
34320	2009	10	15	12	80	168
34320	2009	10	16	12	0	24
34320	2009	10	17	12	-1	24
34320	2009	10	18	12	-1	24
34320	2009	10	19	12	-1	24
34320	2009	10	20	12	-1	24
34320	2009	10	21	12	-1	24
34320	2009	10	22	12	0	24
34320	2009	10	23	12	-1	24
34320	2009	10	24	12	0	24
34320	2009	10	25	12	0	24
34320	2009	10	26	12	0	24
34320	2009	10	27	12	-1	24
34320	2009	10	28	12	0	24
34320	2009	10	29	12	0	24
34320	2009	10	30	12	0	24
34320	2009	10	31	12	0	24
34320	2009	11	1	12	29	24
34320	2009	11	2	12	1	24
34320	2009	11	3	12	0	24
34320	2009	11	4	12	0	24
34320	2009	11	5	12	0	24
34320	2009	11	6	12	0	24
34320	2009	11	7	12	0	24
34320	2009	11	8	12	0	24
34320	2009	11	9	12	0	24
34320	2009	11	10	12	32	24
34320	2009	11	11	12	24	24
34320	2009	11	12	12	0	24
34320	2009	11	13	12	0	24
34320	2009	11	14	12	0	24
34320	2009	11	15	12	0	24
34320	2009	11	16	12	0	24
34320	2009	11	17	12	-1	24
34320	2009	11	18	12	-1	24
